"","RNA_snn_res.0.25","RNA_snn_res.0.5","RNA_snn_res.1","RNA_snn_res.1.5","RNA_snn_res.2","RNA_snn_res.2.5"
"1","0","0","0","0","0","0"
"2","0","0","0","3","3","2"
"3","0","0","2","1","1","1"
"4","0","0","0","0","0","0"
"5","1","1","3","5","4","13"
"6","0","0","2","1","1","1"
"7","1","1","1","3","9","14"
"8","1","1","1","1","6","7"
"9","0","0","2","0","1","1"
"10","0","2","4","0","0","3"
"11","0","0","2","1","1","1"
"12","0","2","4","4","2","3"
"13","0","0","0","0","0","0"
"14","0","2","4","4","2","3"
"15","0","0","0","0","11","11"
"16","0","0","0","0","11","11"
"17","0","0","0","3","3","2"
"18","1","1","2","1","6","7"
"19","0","0","0","3","3","2"
"20","1","1","3","7","12","8"
"21","0","0","0","6","10","10"
"22","1","2","3","5","4","4"
"23","1","1","1","6","10","10"
"24","1","2","4","4","7","9"
"25","1","1","2","1","6","7"
"26","1","1","1","2","8","17"
"27","1","1","1","2","12","23"
"28","1","1","2","1","1","7"
"29","0","0","2","1","1","7"
"30","1","2","3","5","4","4"
"31","0","2","4","4","2","9"
"33","0","0","0","0","0","0"
"35","1","1","1","2","5","5"
"36","1","1","1","2","8","23"
"37","0","2","4","4","2","3"
"38","0","0","0","0","0","0"
"39","0","0","0","0","0","8"
"40","0","2","4","4","2","9"
"41","0","0","0","3","3","0"
"42","0","0","0","0","0","0"
"43","0","2","4","4","2","3"
"44","1","1","3","5","7","6"
"45","1","1","2","1","1","1"
"46","0","0","0","3","3","2"
"47","1","1","1","2","12","15"
"48","0","0","0","3","3","2"
"49","0","2","4","4","2","3"
"50","0","0","0","6","5","5"
"51","1","1","2","1","6","7"
"52","0","0","0","0","0","8"
"53","1","1","1","2","8","25"
"54","1","1","1","2","13","13"
"55","1","1","1","2","13","13"
"56","1","1","1","2","9","18"
"57","1","2","3","5","4","4"
"58","1","2","3","5","4","12"
"59","1","2","3","5","4","4"
"60","0","0","0","6","10","10"
"61","1","1","1","2","12","29"
"62","1","1","1","1","6","7"
"63","1","1","1","2","8","25"
"64","1","1","1","2","8","22"
"65","0","0","0","0","0","0"
"68","1","2","3","5","7","12"
"70","0","0","0","0","0","0"
"73","0","0","2","1","1","1"
"74","1","1","2","0","13","16"
"75","0","0","0","6","5","5"
"76","0","0","0","0","0","8"
"77","0","2","4","4","2","3"
"78","0","0","0","0","0","8"
"79","0","0","0","3","3","2"
"80","0","2","4","4","2","3"
"82","0","0","0","0","11","11"
"83","0","0","0","3","3","2"
"84","0","0","0","3","3","2"
"85","0","0","0","0","11","11"
"86","0","0","4","4","2","3"
"87","0","0","0","3","3","0"
"88","0","0","0","0","1","0"
"89","0","2","4","4","5","9"
"90","0","0","0","3","3","2"
"92","1","1","3","5","4","4"
"93","1","1","1","2","8","27"
"94","1","1","1","2","13","21"
"95","0","0","0","3","3","2"
"96","0","0","0","3","3","2"
"97","0","0","0","0","0","8"
"99","0","0","0","0","11","11"
"100","0","0","0","0","0","8"
"102","0","0","0","0","0","8"
"103","0","2","4","4","2","3"
"104","0","0","2","0","1","0"
"105","1","1","1","2","15","12"
"106","1","1","1","5","15","12"
"107","0","2","4","4","2","3"
"109","1","1","1","8","15","12"
"110","1","1","1","2","8","27"
"111","1","1","1","2","13","13"
"112","1","1","1","2","14","19"
"114","0","0","0","0","0","0"
"115","1","2","3","5","7","6"
"116","1","1","1","2","8","17"
"117","1","2","3","5","7","6"
"118","0","0","0","0","10","10"
"119","0","0","0","0","0","0"
"120","0","0","0","3","3","2"
"121","1","1","1","3","9","14"
"122","1","1","3","2","7","6"
"123","0","0","0","6","5","5"
"124","1","2","3","5","4","12"
"125","0","0","0","0","0","8"
"126","0","0","0","3","3","2"
"127","1","2","3","5","7","6"
"128","0","0","0","3","3","2"
"129","1","1","1","2","6","7"
"131","1","1","1","2","13","21"
"132","0","0","2","1","1","1"
"133","1","2","3","5","7","6"
"134","0","0","0","0","0","0"
"135","1","1","1","2","12","23"
"136","1","1","1","2","9","18"
"138","1","1","3","5","4","4"
"141","1","2","3","5","4","4"
"145","1","1","1","2","12","15"
"150","1","1","1","3","9","14"
"152","1","2","3","5","4","12"
"153","1","1","1","2","14","19"
"156","1","1","1","2","8","17"
"158","1","1","1","2","14","24"
"159","1","1","1","2","10","10"
"160","1","1","1","2","8","18"
"161","1","1","1","2","5","5"
"162","0","0","0","0","0","8"
"164","0","0","2","1","1","1"
"165","0","0","0","6","5","5"
"166","0","2","4","4","2","3"
"167","0","0","2","1","1","1"
"168","0","0","0","0","0","0"
"169","0","0","0","0","0","8"
"170","1","0","0","3","3","2"
"172","0","0","0","0","11","11"
"173","0","0","0","3","3","2"
"174","0","0","0","3","3","2"
"175","0","0","0","0","0","8"
"177","1","1","1","0","0","16"
"178","1","1","1","2","6","7"
"179","0","0","4","0","11","11"
"180","0","0","0","0","11","11"
"181","1","1","1","2","9","14"
"182","1","1","1","2","5","18"
"185","1","2","3","5","4","4"
"186","1","1","1","2","6","26"
"189","0","0","0","3","3","8"
"190","0","0","0","6","10","10"
"191","0","2","4","4","2","9"
"192","1","1","1","2","12","16"
"193","1","1","1","6","5","9"
"195","1","1","1","3","9","8"
"196","1","2","3","5","4","4"
"197","0","0","0","3","3","2"
"198","1","2","3","5","7","6"
"199","0","0","0","3","3","2"
"200","0","0","0","0","0","0"
"201","0","0","0","6","10","10"
"202","0","0","0","6","5","5"
"203","1","1","1","2","6","14"
"204","1","1","1","2","6","14"
"205","1","1","1","2","8","20"
"206","0","0","0","0","0","8"
"207","1","1","1","2","6","22"
"208","0","0","0","3","3","2"
"209","1","1","1","2","6","22"
"210","1","1","1","2","12","15"
"211","0","0","0","3","3","2"
"212","0","0","0","6","5","5"
"213","0","0","0","3","3","2"
"218","0","0","0","0","0","0"
"219","0","0","0","0","0","0"
"220","0","0","2","1","1","1"
"221","0","0","2","0","1","1"
"222","1","0","0","6","10","10"
"223","0","2","4","4","2","3"
"224","0","0","0","3","3","2"
"225","0","0","0","6","5","5"
"226","0","0","0","6","5","5"
"227","0","0","0","3","3","2"
"228","0","0","0","3","3","2"
"229","0","0","0","0","0","0"
"230","0","0","0","3","3","2"
"231","0","0","2","1","1","1"
"232","0","0","0","6","5","5"
"233","0","0","0","0","0","0"
"234","0","0","0","3","3","2"
"236","0","0","0","3","3","2"
"238","1","2","3","5","4","4"
"239","1","2","3","5","7","6"
"240","1","1","1","2","8","20"
"241","0","0","0","0","0","8"
"243","1","2","3","5","4","4"
"244","0","2","4","4","2","3"
"245","0","0","0","3","3","2"
"246","0","0","0","0","0","8"
"247","0","0","2","1","1","1"
"248","1","2","3","5","7","6"
"249","1","1","3","5","7","6"
"250","1","1","1","2","8","30"
"251","1","1","1","2","13","13"
"252","0","2","4","4","2","9"
"253","1","1","1","2","8","17"
"254","1","1","1","3","5","14"
"255","1","1","1","2","6","7"
"257","0","0","2","1","1","8"
"259","1","1","1","2","8","19"
"260","1","1","1","2","9","30"
"261","0","0","0","0","0","0"
"262","0","0","0","3","3","2"
"263","1","2","3","5","4","4"
"264","1","1","2","1","6","7"
"265","1","2","3","5","4","4"
"266","0","2","4","4","2","9"
"267","1","2","3","5","4","4"
"268","0","0","0","0","0","0"
"269","1","2","3","5","4","4"
"271","1","1","1","2","8","20"
"272","1","2","3","5","4","4"
"273","0","0","0","0","0","8"
"274","1","2","3","5","4","4"
"275","0","2","4","4","2","3"
"276","1","1","1","2","8","24"
"277","1","2","3","5","4","4"
"278","1","2","3","5","4","4"
"280","1","1","1","2","11","11"
"281","1","2","3","5","4","4"
"283","1","1","3","5","4","4"
"285","1","2","3","5","4","4"
"286","0","0","0","6","10","10"
"289","1","1","1","2","12","17"
"290","1","1","1","2","9","30"
"291","1","1","1","2","8","17"
"293","0","0","0","3","3","2"
"294","0","0","0","0","1","0"
"295","0","0","0","3","3","2"
"296","0","0","0","6","5","5"
"297","0","0","0","0","0","0"
"298","0","0","0","0","0","0"
"299","0","0","0","3","3","2"
"300","1","1","1","2","9","18"
"301","0","0","0","3","3","2"
"302","0","0","0","0","0","0"
"303","0","0","0","3","3","2"
"304","0","2","4","4","2","3"
"305","1","2","3","5","4","4"
"306","0","0","0","0","0","0"
"307","0","0","0","0","0","8"
"308","0","0","2","1","1","1"
"309","1","1","1","0","11","11"
"311","0","0","2","1","1","1"
"312","1","0","0","3","3","2"
"313","1","1","1","2","6","11"
"314","0","0","0","0","0","0"
"315","0","0","0","0","0","8"
"317","1","2","3","5","4","12"
"318","0","0","2","1","1","1"
"319","0","0","2","1","1","1"
"320","0","0","0","6","5","5"
"321","1","1","2","1","6","7"
"322","1","1","1","2","13","21"
"323","0","0","0","3","3","2"
"324","1","2","3","5","4","12"
"325","0","0","0","6","5","5"
"326","0","0","0","3","3","2"
"327","0","0","0","6","5","5"
"328","1","2","3","5","4","4"
"329","1","2","3","5","4","4"
"330","1","2","3","5","4","4"
"331","0","0","0","3","3","2"
"332","0","0","0","0","0","8"
"333","0","0","0","0","0","8"
"334","0","0","0","0","0","8"
"335","0","0","2","1","1","1"
"336","0","0","0","3","3","2"
"337","0","0","0","0","0","8"
"338","1","1","1","1","6","7"
"339","0","0","0","4","2","3"
"340","0","0","0","0","0","0"
"341","0","0","0","0","0","0"
"342","0","0","2","1","1","1"
"343","1","1","1","2","6","31"
"344","1","1","2","1","10","10"
"346","1","1","2","1","6","7"
"347","0","2","4","4","2","9"
"348","0","0","0","0","0","0"
"349","1","1","1","2","8","24"
"350","1","1","1","3","9","14"
"351","0","0","0","0","0","8"
"352","0","0","2","1","1","1"
"353","1","2","3","5","4","12"
"354","0","0","0","3","3","2"
"355","0","2","3","5","10","12"
"356","0","0","0","3","3","2"
"357","0","0","0","3","3","2"
"358","0","0","0","0","0","0"
"359","0","0","0","0","0","0"
"360","1","1","1","2","12","23"
"361","1","1","3","5","4","4"
"362","0","0","0","0","0","0"
"363","0","0","0","0","0","0"
"364","0","0","0","0","0","0"
"365","0","0","0","3","3","2"
"366","0","0","0","0","0","0"
"368","0","0","0","1","10","10"
"370","0","0","0","0","0","0"
"372","1","2","3","0","4","8"
"373","1","2","3","5","4","4"
"374","0","0","0","0","0","0"
"376","0","0","0","3","3","2"
"378","1","1","2","1","6","7"
"379","1","1","1","1","6","7"
"381","1","1","1","2","12","15"
"382","1","2","3","5","4","4"
"383","0","0","0","6","10","10"
"384","1","1","1","7","12","16"
"385","0","0","0","3","3","2"
"386","1","1","1","0","11","11"
"388","1","1","0","6","5","5"
"389","1","1","1","2","8","17"
"390","1","1","1","2","12","15"
"391","0","0","0","3","3","2"
"392","0","0","0","3","3","2"
"393","0","0","0","6","5","5"
"394","1","2","3","5","4","4"
"395","1","1","1","2","8","27"
"397","0","0","0","3","3","2"
